title,content_type,publish_time,views,likes,saves,comments,follows,has_interaction,has_emotion,has_rare_view,has_cover_text,has_bgm,creator_note
赛后握手这一秒太真实,interaction,2026-03-01T20:30:00,18500,1620,820,236,48,1,1,1,1,0,评论高来自赛后互动明显
直播镜头外的选手回头,persona_detail,2026-03-03T21:00:00,14300,1180,760,121,33,0,1,1,1,0,细节适合转粉
这段高清现场适合反复看,high_quality_collection,2026-03-05T19:45:00,22100,2010,1320,88,29,0,0,1,1,1,收藏高
观众席视角下的入场瞬间,emotion,2026-03-07T20:15:00,17400,1510,640,96,21,0,1,1,1,1,情绪氛围好
赛后粉丝喊话回应,interaction,2026-03-09T22:10:00,26800,2480,980,342,75,1,1,1,1,0,互动明显
被直播切掉的庆祝动作,timely,2026-03-11T20:05:00,31200,2860,1210,205,54,1,1,1,1,0,抢鲜视角
过几天还想回看的退场,long_tail,2026-03-12T23:00:00,9800,760,520,54,12,0,1,0,0,1,长尾内容
三段现场反应合集,compilation,2026-03-14T21:20:00,15600,1330,910,117,25,1,1,0,1,1,合集稳定
选手小动作被现场拍到,persona_detail,2026-03-16T19:35:00,20300,1900,880,174,59,1,1,1,1,0,人设细节强
高清近景适合收藏,high_quality_collection,2026-03-18T20:40:00,24400,2160,1560,92,38,0,0,1,1,0,画面清晰
现场欢呼起来那一刻,emotion,2026-03-20T21:30:00,19700,1830,770,140,31,1,1,0,1,1,氛围强
赛前入场稀缺角度,timely,2026-03-22T18:50:00,28900,2550,1040,189,46,0,1,1,1,0,时效和稀缺
评论区问的侧面视角,long_tail,2026-03-24T20:00:00,12200,930,680,81,18,0,0,1,1,0,回应评论区
现场互动三连拍,compilation,2026-03-26T21:10:00,17800,1490,820,165,36,1,1,0,1,1,合集互动
选手状态细节记录,persona_detail,2026-03-28T19:55:00,16400,1410,710,116,42,0,1,1,0,0,细节稳定
高清返场镜头,high_quality_collection,2026-03-30T22:00:00,23200,2050,1480,99,30,0,1,1,1,0,收藏表现好
现场氛围最满的一段,emotion,2026-04-01T20:20:00,21100,1980,860,150,34,1,1,0,1,1,情绪类表现稳定
赛后互动未播片段,interaction,2026-04-03T22:25:00,27600,2600,1100,318,82,1,1,1,1,0,转粉信号明显
粉丝视角的长尾记录,long_tail,2026-04-05T21:40:00,10900,820,610,65,14,0,1,0,0,1,长尾收藏
一场比赛的直拍合集,compilation,2026-04-07T20:10:00,16800,1380,900,102,24,1,1,0,1,1,合集适合总结
